director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Robert Greenwald,Scott Helvenston,Katy Helvenston-Wettengal,Donna Zovko,Documentary War,iraq for sale: the war profiteers,Scott Helvenston Katy Helvenston-Wettengal Donna Zovko Robert Greenwald Documentary War
Leslie Small,Isaac C. Singleton Jr.,Larry King,Jeanette Branch,Comedy Documentary,kevin hart: laugh at my pain,Isaac C. Singleton Jr. Larry King Jeanette Branch Leslie Small Comedy Documentary
Christopher Hutson,Dichen Lachman,Jennifer Lee Wiggins,Michele Morrow,Horror,bled,Dichen Lachman Jennifer Lee Wiggins Michele Morrow Christopher Hutson Horror
Emily Dell,Aimee Garcia,Wesley Jonathan,Drew Sidora,Drama Music Romance,b-girl,Aimee Garcia Wesley Jonathan Drew Sidora Emily Dell Drama Music Romance
Bill Benenson,Alfre Woodard,Dave Fennoy,Jane Goodall,Documentary,the hadza: last of the first,Alfre Woodard Dave Fennoy Jane Goodall Bill Benenson Documentary
Travis Romero,Matthew Ziff,Lorraine Ziff,Michael Biehn,Drama Thriller,treachery,Matthew Ziff Lorraine Ziff Michael Biehn Travis Romero Drama Thriller
Gene Teigland,Kendyl Joi,Matthew Feeney,Tac Fitzgerald,Mystery Thriller,arnolds park,Kendyl Joi Matthew Feeney Tac Fitzgerald Gene Teigland Mystery Thriller
Richard Montoya,Nicholas Gonzalez,Angela Nordeng,Exie Booker,Crime Drama,water & power,Nicholas Gonzalez Angela Nordeng Exie Booker Richard Montoya Crime Drama
William Gazecki,Karen Alexander,Colin Andrews,Francine Blake,Documentary,crop circles: quest for truth,Karen Alexander Colin Andrews Francine Blake William Gazecki Documentary
Lance McDaniel,Russell Wong,Steven Michael Quezada,Lymari Nadal,Action Drama Thriller,light from the darkroom,Russell Wong Steven Michael Quezada Lymari Nadal Lance McDaniel Action Drama Thriller
Thomas Lilti,François Cluzet,Félix Moati,Marianne Denicourt,Comedy Drama,irreplaceable,François Cluzet Félix Moati Marianne Denicourt Thomas Lilti Comedy Drama
U. Roberto Romano,unknown,unknown,unknown,Documentary,the harvest/la cosecha,unknown unknown unknown U. Roberto Romano Documentary
Blaz Zavrsnik,Dario Nozic Serini,Spela Colja,Andrej Nahtigal,Comedy,julija in alfa romeo,Dario Nozic Serini Spela Colja Andrej Nahtigal Blaz Zavrsnik Comedy
Marilyn Agrelo,Heather Berman,Eva Carrozza,Paul Daggett,Documentary Family Music,mad hot ballroom,Heather Berman Eva Carrozza Paul Daggett Marilyn Agrelo Documentary Family Music
Kurt Hale,Kirby Heyborne,Lincoln Hoppe,Daryn Tufts,Comedy Drama Romance,the singles ward,Kirby Heyborne Lincoln Hoppe Daryn Tufts Kurt Hale Comedy Drama Romance
Kurt Hale,Kirby Heyborne,Big Budah,Curt Doussett,Comedy Crime Family,the r.m.,Kirby Heyborne Big Budah Curt Doussett Kurt Hale Comedy Crime Family
Justin Lin,Monique Gabriela Curnen,Jake Sandvig,Joe McQueen,Comedy,finishing the game: the search for a new bruce lee,Monique Gabriela Curnen Jake Sandvig Joe McQueen Justin Lin Comedy
Jonathan Parker,Keith Carradine,Joanne Whalley,Illeana Douglas,Drama,the californians,Keith Carradine Joanne Whalley Illeana Douglas Jonathan Parker Drama
Daston Kalili,Daston Kalili,Rai Alexandra,Chin-Chien Chang,Thriller,insomnia manica,Daston Kalili Rai Alexandra Chin-Chien Chang Daston Kalili Thriller
William Gazecki,Carol Channing,Bruce Vilanch,Tony Bennett,Documentary,the outrageous sophie tucker,Carol Channing Bruce Vilanch Tony Bennett William Gazecki Documentary
Patrick Gilles,Emma Caulfield,Dylan Baker,Mike Colter,History,america is still the place,Emma Caulfield Dylan Baker Mike Colter Patrick Gilles History
Georgia Hilton,Mike Beckingham,Tim Abell,Tom Stedham,Action Mystery Thriller,subconscious,Mike Beckingham Tim Abell Tom Stedham Georgia Hilton Action Mystery Thriller
Fernando Baez Mella,Manny Perez,Christian Alvarez,Claudette Lalí,Crime Drama,the king of najayo,Manny Perez Christian Alvarez Claudette Lalí Fernando Baez Mella Crime Drama
Warren Sheppard,Jennifer Hale,Randy Jay Burrell,Vincent De Paul,Action Romance Sport,fight to the finish,Jennifer Hale Randy Jay Burrell Vincent De Paul Warren Sheppard Action Romance Sport
Darren Lynn Bousman,Paul Sorvino,Barry Bostwick,Terrance Zdunich,Horror Musical,alleluia! the devil's carnival,Paul Sorvino Barry Bostwick Terrance Zdunich Darren Lynn Bousman Horror Musical
Joel Paul Reisig,Carrie Bradstreet,Joel Paul Reisig,Yassie Hawkes,Family,rodeo girl,Carrie Bradstreet Joel Paul Reisig Yassie Hawkes Joel Paul Reisig Family
Catherine Gund,Elizabeth Streb,Sarah Callan,Laura Flanders,Action Biography Documentary Sport,born to fly: elizabeth streb vs. gravity,Elizabeth Streb Sarah Callan Laura Flanders Catherine Gund Action Biography Documentary Sport
Luke Dye,Mike Stanley,Jeff Delaney,Jamison Stalsworth,Family,the little ponderosa zoo,Mike Stanley Jeff Delaney Jamison Stalsworth Luke Dye Family
Sam Raimi,Tim Holmes,Mila Kunis,James Franco,Adventure Family Fantasy,oz the great and powerful,Tim Holmes Mila Kunis James Franco Sam Raimi Adventure Family Fantasy
Matty Rich,Lawrence Gilliard Jr.,George T. Odom,Matty Rich,Crime Drama,straight out of brooklyn,Lawrence Gilliard Jr. George T. Odom Matty Rich Matty Rich Crime Drama
Alec Asten,Luis Sanchez,Dennis L.A. White,Fredro Starr,Action,diamond ruff,Luis Sanchez Dennis L.A. White Fredro Starr Alec Asten Action
Matthew Watts,Jennifer Lafleur,Cheyenne Jackson,Michael Stahl-David,Comedy Romance,mutual friends,Jennifer Lafleur Cheyenne Jackson Michael Stahl-David Matthew Watts Comedy Romance
Joe Kenemore,Bob Proctor,Jack Canfield,Eric Worre,Documentary,rise of the entrepreneur: the search for a better way,Bob Proctor Jack Canfield Eric Worre Joe Kenemore Documentary
Eric England,Jack E. Curenton,Ace Marrero,Alan Pietruszewski,Drama Horror Mystery Thriller,roadside,Jack E. Curenton Ace Marrero Alan Pietruszewski Eric England Drama Horror Mystery Thriller
Sue Corcoran,Tony Doupe,Sue Corcoran,David Frederick White,Comedy Fantasy Horror Musical,gory gory hallelujah,Tony Doupe Sue Corcoran David Frederick White Sue Corcoran Comedy Fantasy Horror Musical
unknown,Sendhil Ramamurthy,Masi Oka,Greg Grunberg,Drama Fantasy Sci-Fi Thriller,heroes            ,Sendhil Ramamurthy Masi Oka Greg Grunberg unknown Drama Fantasy Sci-Fi Thriller
Ray Griggs,Bill Farmer,Chris Cox,Mike Huckabee,Documentary,i want your money,Bill Farmer Chris Cox Mike Huckabee Ray Griggs Documentary
Matt Jackson,Kane Hodder,Paul Elia,Alex Sanborn,Comedy Horror,love in the time of monsters,Kane Hodder Paul Elia Alex Sanborn Matt Jackson Comedy Horror
unknown,Brendon Small,Ron Lynch,Melissa Bardin Galsky,Animation Comedy Drama,home movies            ,Brendon Small Ron Lynch Melissa Bardin Galsky unknown Animation Comedy Drama
Ari Kirschenbaum,R. Brandon Johnson,Adam LeFevre,Desmond Askew,Drama Horror Mystery Thriller,fabled,R. Brandon Johnson Adam LeFevre Desmond Askew Ari Kirschenbaum Drama Horror Mystery Thriller
Mor Loushy,Amos Oz,unknown,unknown,Documentary History,censored voices,Amos Oz unknown unknown Mor Loushy Documentary History
unknown,Billy Burke,Tracy Spiridakos,David Lyons,Action Adventure Drama Sci-Fi,revolution            ,Billy Burke Tracy Spiridakos David Lyons unknown Action Adventure Drama Sci-Fi
Chad Kapper,Tom E. Nicholson,Natalie Welch,Christian Kapper,Family Sci-Fi,rotor dr1,Tom E. Nicholson Natalie Welch Christian Kapper Chad Kapper Family Sci-Fi
Lauren Lazin,James Cagney,Gary Coleman,Todd Bridges,Biography Documentary Music,tupac: resurrection,James Cagney Gary Coleman Todd Bridges Lauren Lazin Biography Documentary Music
Niall Johnson,Kevin Howarth,Mark Caven,Thierry Harcourt,Drama,the big swap,Kevin Howarth Mark Caven Thierry Harcourt Niall Johnson Drama
Florence Ayisi,Vera Ngassa,Beatrice Ntuba,unknown,Documentary,sisters in law,Vera Ngassa Beatrice Ntuba unknown Florence Ayisi Documentary
Pan Nalin,unknown,unknown,unknown,Documentary,ayurveda: art of being,unknown unknown unknown Pan Nalin Documentary
Eddie O'Flaherty,Don Wallace,Eddie Jones,Christina Chambers,Drama Sport,fighting tommy riley,Don Wallace Eddie Jones Christina Chambers Eddie O'Flaherty Drama Sport
Babar Ahmed,Lalaine,Alexander Wraith,Darren Kendrick,Action Thriller,royal kill,Lalaine Alexander Wraith Darren Kendrick Babar Ahmed Action Thriller
John D. Hancock,Trish Basinger,Elizabeth Stenholt,Mary Norwood,Drama Music,the looking glass,Trish Basinger Elizabeth Stenholt Mary Norwood John D. Hancock Drama Music
Bruce Dellis,Tatyana Ali,Ricky Schroder,Jon Polito,Thriller,locker 13,Tatyana Ali Ricky Schroder Jon Polito Bruce Dellis Thriller
Pece Dingo,Michael Des Barres,Wilhelm von Homburg,Thom Mathews,Horror,midnight cabaret,Michael Des Barres Wilhelm von Homburg Thom Mathews Pece Dingo Horror
Jerome Elston Scott,Taran Killam,Joanna Cassidy,Ryan Carnes,Comedy Drama Romance,anderson's cross,Taran Killam Joanna Cassidy Ryan Carnes Jerome Elston Scott Comedy Drama Romance
Ken Del Conte,Hector Echavarria,Robert Miano,Ron Roggé,Action Adventure Mystery Romance Thriller,death calls,Hector Echavarria Robert Miano Ron Roggé Ken Del Conte Action Adventure Mystery Romance Thriller
Piyush Dinker Pandya,Purva Bedi,Rizwan Manji,Anil Kumar,Comedy Drama Romance,american desi,Purva Bedi Rizwan Manji Anil Kumar Piyush Dinker Pandya Comedy Drama Romance
Daniel Columbie,Keri Maletto,Nicholas Simmons,Barbie Castro,Action Crime Drama,amidst the devil's wings,Keri Maletto Nicholas Simmons Barbie Castro Daniel Columbie Action Crime Drama
Al Franklin,Marshal Hilton,Steffinnie Phrommany,Clint Jung,Horror,teeth and blood,Marshal Hilton Steffinnie Phrommany Clint Jung Al Franklin Horror
unknown,Shirley Henderson,James Norton,Sarah Lancashire,Crime Drama,happy valley            ,Shirley Henderson James Norton Sarah Lancashire unknown Crime Drama
Rachel Goldenberg,Dustin Fitzsimons,Mark Hengst,Debra Lynn Hull,Drama Musical,sunday school musical,Dustin Fitzsimons Mark Hengst Debra Lynn Hull Rachel Goldenberg Drama Musical
Corbin Bernsen,Corbin Bernsen,Lorne Cardinal,Kirsten Collins,Drama,rust,Corbin Bernsen Lorne Cardinal Kirsten Collins Corbin Bernsen Drama
Tom Seidman,Florence Henderson,Derek Brandon,Charles Irving Beale,Drama Family,the christmas bunny,Florence Henderson Derek Brandon Charles Irving Beale Tom Seidman Drama Family
Jason Naumann,Victoria Jackson,Kate Flannery,Tim Bagley,Comedy Short,jesus people,Victoria Jackson Kate Flannery Tim Bagley Jason Naumann Comedy Short
Sam Martin,Sam Adams,Steve Duin,Jeff Jacob,Documentary,undivided,Sam Adams Steve Duin Jeff Jacob Sam Martin Documentary
Andrew Hyatt,Noah Segan,Brit Morgan,Sedona James,Horror Thriller,the frozen,Noah Segan Brit Morgan Sedona James Andrew Hyatt Horror Thriller
Joel Paul Reisig,Joshua Ray Bell,Dana Blackstone,Annelyse Ahmad,Family,horse camp,Joshua Ray Bell Dana Blackstone Annelyse Ahmad Joel Paul Reisig Family
Kristin Rizzo,Esai Morales,Robert Davi,Elaine Hendrix,Documentary,give me shelter,Esai Morales Robert Davi Elaine Hendrix Kristin Rizzo Documentary
Ward Roberts,Sid Haig,Jacob Zachar,Travis Betz,Comedy,little big top,Sid Haig Jacob Zachar Travis Betz Ward Roberts Comedy
James O'Brien,Mark Fantasia,Vivian Lamolli,Greg Jackson,Adventure Drama Fantasy Thriller Western,western religion,Mark Fantasia Vivian Lamolli Greg Jackson James O'Brien Adventure Drama Fantasy Thriller Western
Maurizio Benazzo,The Dalai Lama,Jasper Johal,Swami Krishnanad,Documentary,short cut to nirvana: kumbh mela,The Dalai Lama Jasper Johal Swami Krishnanad Maurizio Benazzo Documentary
David G. Evans,Michael Joiner,Chris Thomas,Michael Higgenbottom,Drama,the grace card,Michael Joiner Chris Thomas Michael Higgenbottom David G. Evans Drama
Tom Tykwer,Devid Striesow,Sebastian Schipper,Sophie Rois,Comedy Drama Romance,3,Devid Striesow Sebastian Schipper Sophie Rois Tom Tykwer Comedy Drama Romance
Justin Dillon,Matisyahu,Natasha Bedingfield,Madeleine Albright,Documentary History Music,call + response,Matisyahu Natasha Bedingfield Madeleine Albright Justin Dillon Documentary History Music
Stevan Mena,R. Brandon Johnson,Stevan Mena,Richard Glover,Crime Horror Mystery Thriller,malevolence,R. Brandon Johnson Stevan Mena Richard Glover Stevan Mena Crime Horror Mystery Thriller
Adam Rifkin,Marri Savinar,Adam Rifkin,Bethany Blakey,Comedy Drama,shooting the warwicks,Marri Savinar Adam Rifkin Bethany Blakey Adam Rifkin Comedy Drama
Eric Valette,Melanie Papalia,Ryan Kennedy,John Reardon,Horror Sci-Fi Thriller,super hybrid,Melanie Papalia Ryan Kennedy John Reardon Eric Valette Horror Sci-Fi Thriller
Livingston Oden,Susan Chambers,Victoria Lachelle,Ali Daniels,Comedy Horror Mystery Thriller,solitude,Susan Chambers Victoria Lachelle Ali Daniels Livingston Oden Comedy Horror Mystery Thriller
Chris Marker,Marina Vlady,Bertrand Cantat,Léon Schwartzenberg,Documentary,the case of the grinning cat,Marina Vlady Bertrand Cantat Léon Schwartzenberg Chris Marker Documentary
Ricki Stern,Darryl Hunt,Evelyn Jefferson,John Reeves,Crime Documentary,the trials of darryl hunt,Darryl Hunt Evelyn Jefferson John Reeves Ricki Stern Crime Documentary
Nadia Tass,Mia Farrow,Jordan Bridges,Bruce Gooch,Drama Family,an american girl holiday,Mia Farrow Jordan Bridges Bruce Gooch Nadia Tass Drama Family
C. Fraser Press,Elaine Bromka,Robert Turano,Matthew Gumley,Comedy Drama Music,theresa is a mother,Elaine Bromka Robert Turano Matthew Gumley C. Fraser Press Comedy Drama Music
Sharon Greytak,Sally Kirkland,Alex Emanuel,Elaine Bromka,Drama,archaeology of a woman,Sally Kirkland Alex Emanuel Elaine Bromka Sharon Greytak Drama
Cary Bell,Abigail Evans,Stacie Evans,Emily Gorell,Documentary,butterfly girl,Abigail Evans Stacie Evans Emily Gorell Cary Bell Documentary
Nicolae Constantin Tanase,Iulia Ciochina,Ana Maria Guran,Ana Vatamanu,Drama,the world is mine,Iulia Ciochina Ana Maria Guran Ana Vatamanu Nicolae Constantin Tanase Drama
Ken Roht,Charla Cochran,Joe Lev,Sienna Beckman,Drama,perfect cowboy,Charla Cochran Joe Lev Sienna Beckman Ken Roht Drama
Eric Bugbee,Joel Moody,Bill Allen,Lia Tucker,Action Drama Sport,heroes of dirt,Joel Moody Bill Allen Lia Tucker Eric Bugbee Action Drama Sport
Dena Seidel,Naderev Sano,Hugh Ducklow,Mike Brett,Adventure Documentary,antarctic edge: 70° south,Naderev Sano Hugh Ducklow Mike Brett Dena Seidel Adventure Documentary
Sara Newens,Ariel Hsing,Xinhua Jiang,Michael Landers,Documentary,top spin,Ariel Hsing Xinhua Jiang Michael Landers Sara Newens Documentary
Sai Varadan,J.D. Williams,Hassan Johnson,Samantha Esteban,Drama,an american in hollywood,J.D. Williams Hassan Johnson Samantha Esteban Sai Varadan Drama
Amal Al-Agroobi,unknown,unknown,unknown,Documentary Family,the brain that sings,unknown unknown unknown Amal Al-Agroobi Documentary Family
Andrew Berends,unknown,unknown,unknown,Documentary War,the blood of my brother,unknown unknown unknown Andrew Berends Documentary War
Valentine,Diane Sorrentino,Valentine,unknown,Romance,romantic schemer,Diane Sorrentino Valentine unknown Valentine Romance
Nathan Smith Jones,Richard Moll,Frank Gerrish,Christopher Robin Miller,Comedy,the work and the story,Richard Moll Frank Gerrish Christopher Robin Miller Nathan Smith Jones Comedy
Stephen Langford,Kevin P. Farley,Gabriela Castillo,Brandon Middleton,Family,"dude, where's my dog?!",Kevin P. Farley Gabriela Castillo Brandon Middleton Stephen Langford Family
Dan Reed,Danny Dyer,Adam Rayner,Ralph Brown,Thriller,closure,Danny Dyer Adam Rayner Ralph Brown Dan Reed Thriller
Patrick Ryan Sims,Claire Gordon-Harper,Hugh Mun,Johnathan Hurley,Action Drama Sci-Fi Thriller,echo dr.,Claire Gordon-Harper Hugh Mun Johnathan Hurley Patrick Ryan Sims Action Drama Sci-Fi Thriller
Sut Jhally,Noam Chomsky,Seth Ackerman,Arik Ascherman,Documentary,"peace, propaganda & the promised land",Noam Chomsky Seth Ackerman Arik Ascherman Sut Jhally Documentary
Brett Piper,Michelle Simone Miller,Steve Diasparra,A.J. DeLucia,Action Sci-Fi Thriller,queen crab,Michelle Simone Miller Steve Diasparra A.J. DeLucia Brett Piper Action Sci-Fi Thriller
Daniel Mellitz,Corbin Bernsen,Chelse Swain,Amanda MacDonald,Comedy Drama,the naked ape,Corbin Bernsen Chelse Swain Amanda MacDonald Daniel Mellitz Comedy Drama
Jem Cohen,unknown,unknown,unknown,Documentary,counting,unknown unknown unknown Jem Cohen Documentary
Dave Carroll,Chris 'Wonder' Schoeck,unknown,unknown,Documentary,bending steel,Chris 'Wonder' Schoeck unknown unknown Dave Carroll Documentary
Malcolm Goodwin,Katrina Bowden,Jon Gries,Kelen Coleman,Comedy,a true story,Katrina Bowden Jon Gries Kelen Coleman Malcolm Goodwin Comedy
Kirk Loudon,Barry Corbin,Johnny Walter,Shiree Nelson,Drama Sci-Fi Thriller,dawn of the crescent moon,Barry Corbin Johnny Walter Shiree Nelson Kirk Loudon Drama Sci-Fi Thriller
Travis Legge,Elissa Dowling,Patricia Raven,Lindsay Felton,Horror,raymond did it,Elissa Dowling Patricia Raven Lindsay Felton Travis Legge Horror
Collin Joseph Neal,Julianne Gabert,Thomas Brophy,Ronee Collins,Horror Thriller,"run, hide, die",Julianne Gabert Thomas Brophy Ronee Collins Collin Joseph Neal Horror Thriller
Mike Bruce,Joseph Campanella,Kirpatrick Thomas,Christian Anderson,Western,the legend of god's gun,Joseph Campanella Kirpatrick Thomas Christian Anderson Mike Bruce Western
Damir Catic,Nichole Ceballos,Ron Gelner,Parker Riggs,Horror,her cry: la llorona investigation,Nichole Ceballos Ron Gelner Parker Riggs Damir Catic Horror
Joseph Mazzella,Tjasa Ferme,Mikaal Bates,Damon Owlia,Crime Drama Thriller,dutch kills,Tjasa Ferme Mikaal Bates Damon Owlia Joseph Mazzella Crime Drama Thriller
Travis Legge,Kristen Seavey,Suzi Lorraine,Travis Legge,Comedy Romance,dry spell,Kristen Seavey Suzi Lorraine Travis Legge Travis Legge Comedy Romance
Alex Kendrick,Shannen Fields,Lisa Arnold,Janet Lee Dapper,Drama,flywheel,Shannen Fields Lisa Arnold Janet Lee Dapper Alex Kendrick Drama
Marcus Nispel,Ashley Tramonte,Brittany Curran,Lindsay MacDonald,Horror Mystery Thriller,exeter,Ashley Tramonte Brittany Curran Lindsay MacDonald Marcus Nispel Horror Mystery Thriller
Brandon Landers,Robbie Barnes,Alana Kaniewski,Brandon Landers,Drama Horror Thriller,the ridges,Robbie Barnes Alana Kaniewski Brandon Landers Brandon Landers Drama Horror Thriller
Jim Chuchu,Paul Ogola,Olwenya Maina,Mugambi Nthiga,Drama,stories of our lives,Paul Ogola Olwenya Maina Mugambi Nthiga Jim Chuchu Drama
Ivan Kavanagh,Patrick O'Donnell,Michael Parle,Emma Eliza Regan,Horror,tin can man,Patrick O'Donnell Michael Parle Emma Eliza Regan Ivan Kavanagh Horror
Tadeo Garcia,Tatiana Suarez-Pico,Michael Cortez,Eric Ambriz,Drama,on the downlow,Tatiana Suarez-Pico Michael Cortez Eric Ambriz Tadeo Garcia Drama
Thomas L. Phillips,Julianna Pitt,Joe Coffey,John Lucas,Comedy Horror Thriller,sanctuary; quite a conundrum,Julianna Pitt Joe Coffey John Lucas Thomas L. Phillips Comedy Horror Thriller
Neill Dela Llana,Ian Gamazon,Edgar Tancangco,Quynn Ton,Thriller,cavite,Ian Gamazon Edgar Tancangco Quynn Ton Neill Dela Llana Thriller
Anthony Vallone,Richard Jewell,John Considine,Sara Stepnicka,Crime Drama,the mongol king,Richard Jewell John Considine Sara Stepnicka Anthony Vallone Crime Drama
Scott Smith,Eric Mabius,Daphne Zuniga,Crystal Lowe,Comedy Drama,signed sealed delivered,Eric Mabius Daphne Zuniga Crystal Lowe Scott Smith Comedy Drama
unknown,Natalie Zea,Valorie Curry,Sam Underwood,Crime Drama Mystery Thriller,the following            ,Natalie Zea Valorie Curry Sam Underwood unknown Crime Drama Mystery Thriller
Benjamin Roberds,Eva Boehnke,Maxwell Moody,David Chandler,Drama Horror Thriller,a plague so pleasant,Eva Boehnke Maxwell Moody David Chandler Benjamin Roberds Drama Horror Thriller
Daniel Hsia,Alan Ruck,Daniel Henney,Eliza Coupe,Comedy Drama Romance,shanghai calling,Alan Ruck Daniel Henney Eliza Coupe Daniel Hsia Comedy Drama Romance
John Lasseter,Tom Hanks,Tim Allen,Don Rickles,Animation Comedy Family,toy story,Tom Hanks Tim Allen Don Rickles John Lasseter Animation Comedy Family
Joe Johnston,Robin Williams,Jonathan Hyde,Kirsten Dunst,Adventure Fantasy Family,jumanji,Robin Williams Jonathan Hyde Kirsten Dunst Joe Johnston Adventure Fantasy Family
Howard Deutch,Walter Matthau,Jack Lemmon,Ann-Margret,Romance Comedy,grumpier old men,Walter Matthau Jack Lemmon Ann-Margret Howard Deutch Romance Comedy
Forest Whitaker,Whitney Houston,Angela Bassett,Loretta Devine,Comedy Drama Romance,waiting to exhale,Whitney Houston Angela Bassett Loretta Devine Forest Whitaker Comedy Drama Romance
Charles Shyer,Steve Martin,Diane Keaton,Martin Short,Comedy,father of the bride part ii,Steve Martin Diane Keaton Martin Short Charles Shyer Comedy
Michael Mann,Al Pacino,Robert De Niro,Val Kilmer,Action Crime Drama Thriller,heat,Al Pacino Robert De Niro Val Kilmer Michael Mann Action Crime Drama Thriller
Sydney Pollack,Harrison Ford,Julia Ormond,Greg Kinnear,Comedy Romance,sabrina,Harrison Ford Julia Ormond Greg Kinnear Sydney Pollack Comedy Romance
Peter Hewitt,Jonathan Taylor Thomas,Brad Renfro,Rachael Leigh Cook,Action Adventure Drama Family,tom and huck,Jonathan Taylor Thomas Brad Renfro Rachael Leigh Cook Peter Hewitt Action Adventure Drama Family
Peter Hyams,Jean-Claude Van Damme,Powers Boothe,Dorian Harewood,Action Adventure Thriller,sudden death,Jean-Claude Van Damme Powers Boothe Dorian Harewood Peter Hyams Action Adventure Thriller
Martin Campbell,Pierce Brosnan,Sean Bean,Izabella Scorupco,Adventure Action Thriller,goldeneye,Pierce Brosnan Sean Bean Izabella Scorupco Martin Campbell Adventure Action Thriller
Rob Reiner,Michael Douglas,Annette Bening,Michael J. Fox,Comedy Drama Romance,the american president,Michael Douglas Annette Bening Michael J. Fox Rob Reiner Comedy Drama Romance
Mel Brooks,Leslie Nielsen,Mel Brooks,Amy Yasbeck,Comedy Horror,dracula: dead and loving it,Leslie Nielsen Mel Brooks Amy Yasbeck Mel Brooks Comedy Horror
Simon Wells,Kevin Bacon,Bob Hoskins,Bridget Fonda,Family Animation Adventure,balto,Kevin Bacon Bob Hoskins Bridget Fonda Simon Wells Family Animation Adventure
Oliver Stone,Anthony Hopkins,Joan Allen,Powers Boothe,History Drama,nixon,Anthony Hopkins Joan Allen Powers Boothe Oliver Stone History Drama
Renny Harlin,Geena Davis,Matthew Modine,Frank Langella,Action Adventure,cutthroat island,Geena Davis Matthew Modine Frank Langella Renny Harlin Action Adventure
Martin Scorsese,Robert De Niro,Sharon Stone,Joe Pesci,Drama Crime,casino,Robert De Niro Sharon Stone Joe Pesci Martin Scorsese Drama Crime
Allison Anders Alexandre Rockwell Robert Rodriguez Quentin Tarantino,Tim Roth,Antonio Banderas,Jennifer Beals,Crime Comedy,four rooms,Tim Roth Antonio Banderas Jennifer Beals Allison Anders Alexandre Rockwell Robert Rodriguez Quentin Tarantino Crime Comedy
Steve Oedekerk,Jim Carrey,Ian McNeice,Simon Callow,Crime Comedy Adventure,ace ventura: when nature calls,Jim Carrey Ian McNeice Simon Callow Steve Oedekerk Crime Comedy Adventure
Joseph Ruben,Wesley Snipes,Woody Harrelson,Jennifer Lopez,Action Comedy Crime,money train,Wesley Snipes Woody Harrelson Jennifer Lopez Joseph Ruben Action Comedy Crime
Barry Sonnenfeld,John Travolta,Gene Hackman,Rene Russo,Comedy Thriller Crime,get shorty,John Travolta Gene Hackman Rene Russo Barry Sonnenfeld Comedy Thriller Crime
Jon Amiel,Sigourney Weaver,Holly Hunter,Will Patton,Drama Thriller,copycat,Sigourney Weaver Holly Hunter Will Patton Jon Amiel Drama Thriller
Richard Donner,Sylvester Stallone,Antonio Banderas,Julianne Moore,Action Adventure Crime Thriller,assassins,Sylvester Stallone Antonio Banderas Julianne Moore Richard Donner Action Adventure Crime Thriller
Victor Salva,Mary Steenburgen,Sean Patrick Flanery,Lance Henriksen,Drama Fantasy Sci-Fi Thriller,powder,Mary Steenburgen Sean Patrick Flanery Lance Henriksen Victor Salva Drama Fantasy Sci-Fi Thriller
Mike Figgis,Nicolas Cage,Elisabeth Shue,Julian Sands,Drama Romance,leaving las vegas,Nicolas Cage Elisabeth Shue Julian Sands Mike Figgis Drama Romance
Oliver Parker,Laurence Fishburne,Irène Jacob,Kenneth Branagh,Drama,othello,Laurence Fishburne Irène Jacob Kenneth Branagh Oliver Parker Drama
Lesli Linka Glatter,Christina Ricci,Rosie O'Donnell,Thora Birch,Comedy Drama Family,now and then,Christina Ricci Rosie O'Donnell Thora Birch Lesli Linka Glatter Comedy Drama Family
Jean-Pierre Jeunet Marc Caro,Ron Perlman,Dominique Pinon,Judith Vittet,Fantasy Sci-Fi Adventure,the city of lost children,Ron Perlman Dominique Pinon Judith Vittet Jean-Pierre Jeunet Marc Caro Fantasy Sci-Fi Adventure
Zhang Yimou,Gong Li,Li Bao-Tian,Wang Xiaoxiao,Drama Crime,shanghai triad,Gong Li Li Bao-Tian Wang Xiaoxiao Zhang Yimou Drama Crime
John N. Smith,Michelle Pfeiffer,George Dzundza,Courtney B. Vance,Drama Crime,dangerous minds,Michelle Pfeiffer George Dzundza Courtney B. Vance John N. Smith Drama Crime
Terry Gilliam,Bruce Willis,Madeleine Stowe,Brad Pitt,Sci-Fi Thriller Mystery,twelve monkeys,Bruce Willis Madeleine Stowe Brad Pitt Terry Gilliam Sci-Fi Thriller Mystery
Jean-Jacques Annaud,Craig Sheffer,Elizabeth McGovern,Tom Hulce,Romance Adventure,wings of courage,Craig Sheffer Elizabeth McGovern Tom Hulce Jean-Jacques Annaud Romance Adventure
Chris Noonan,Christine Cavanaugh,Miriam Margolyes,Danny Mann,Fantasy Drama Comedy Family,babe,Christine Cavanaugh Miriam Margolyes Danny Mann Chris Noonan Fantasy Drama Comedy Family
Christopher Hampton,Emma Thompson,Jonathan Pryce,Steven Waddington,History Drama Romance,carrington,Emma Thompson Jonathan Pryce Steven Waddington Christopher Hampton History Drama Romance
Tim Robbins,Susan Sarandon,Sean Penn,Robert Prosky,Drama,dead man walking,Susan Sarandon Sean Penn Robert Prosky Tim Robbins Drama
Stephen Low,Peter Reznick,John McDonough,Avi Hoffman,Adventure History Drama Family,across the sea of time,Peter Reznick John McDonough Avi Hoffman Stephen Low Adventure History Drama Family
Andy Tennant,Kirstie Alley,Steve Guttenberg,Ashley Olsen,Comedy Family Romance,it takes two,Kirstie Alley Steve Guttenberg Ashley Olsen Andy Tennant Comedy Family Romance
